material_id,mean_AtomicWeight,mean_CovalentRadius,mean_Electronegativity,mean_MeltingT,mean_Row,mean_Column,mean_NsValence,mean_NpValence,mean_NdValence,range_CovalentRadius,range_Electronegativity,avgdev_Electronegativity,formation_energy_per_atom
Cu2S,53.0523,123.0,2.1267,1034.6333,3.6667,12.6667,1.3333,1.3333,6.6667,27.0,0.68,0.3022,-0.322
ZrN,52.6154,123.0,2.185,1095.525,3.5,9.5,2.0,1.5,1.0,104.0,1.71,0.855,-2.009
CaO,28.0387,121.0,2.22,584.9,3.0,9.0,2.0,2.0,0.0,110.0,2.44,1.22,-3.325
InN,64.4124,106.5,2.41,246.4,3.5,14.0,2.0,2.0,5.0,71.0,1.26,0.63,-0.181
K2S,36.7539,170.3333,1.4067,353.8067,3.6667,6.0,1.3333,1.3333,0.0,98.0,1.76,0.7822,-1.042
CaTiO3,27.1886,106.8,2.572,644.08,2.8,10.8,2.0,2.4,0.4,110.0,2.44,1.0416,-3.503
Y2O3,45.162,115.6,2.552,752.48,3.2,10.8,2.0,2.4,0.4,124.0,2.22,1.0656,-3.758
RbPbBr3,106.476,145.2,2.406,342.094,4.6,13.2,1.8,3.4,8.0,100.0,2.14,0.6648,-1.652
TiS2,37.3323,123.3333,2.2333,905.9067,3.3333,12.0,2.0,2.6667,0.6667,55.0,1.04,0.4622,-1.415
TiN,30.9368,115.5,2.29,1002.025,3.0,9.5,2.0,1.5,1.0,89.0,1.5,0.75,-1.768
CsGeI3,117.2518,156.2,2.156,534.708,5.0,13.2,1.8,3.4,8.0,124.0,1.87,0.6048,-1.231
MgFe2O4,28.5704,95.5714,2.6757,680.6,2.7143,11.7143,2.0,2.2857,1.7143,75.0,2.13,0.8735,-1.977
Nb2O5,37.9728,94.0,2.9143,824.8571,2.8571,12.8571,1.7143,2.8571,1.1429,98.0,1.84,0.751,-3.026
SiS2,30.7385,107.0,2.3533,821.24,3.0,15.3333,2.0,3.3333,0.0,6.0,0.68,0.3022,-0.707
CuGaSe2,72.7972,123.5,2.2025,662.17,4.0,14.0,1.75,2.25,10.0,12.0,0.74,0.3475,-0.637
CuCl2,44.8173,112.0,2.74,566.99,3.3333,15.0,1.6667,3.3333,3.3333,30.0,1.26,0.56,-1.142
YH3,22.9824,70.75,1.955,460.2575,2.0,1.5,1.25,0.0,0.25,159.0,0.98,0.3675,-1.024
GaF3,31.6796,73.25,3.4375,115.8525,2.5,16.0,2.0,4.0,2.5,65.0,2.17,0.8138,-2.757
MgH2,8.7736,67.6667,1.9033,317.0067,1.6667,1.3333,1.3333,0.0,0.0,110.0,0.89,0.3956,-0.274
SrAl2O4,29.3687,100.1429,2.5614,448.02,2.7143,13.1429,2.0,2.5714,0.0,129.0,2.49,1.0041,-3.552
HfN,96.2484,123.0,2.17,1284.525,4.0,9.5,2.0,1.5,1.0,104.0,1.74,0.87,-2.001
Si3N4,20.0405,88.1429,2.5514,759.0286,2.4286,14.5714,2.0,2.5714,0.0,40.0,1.14,0.5584,-1.638
NaBr,51.4469,143.0,1.945,318.335,3.5,9.0,1.5,2.5,5.0,46.0,2.03,1.015,-1.744
GaP,50.3484,114.5,2.0,310.105,3.5,14.0,2.0,2.0,5.0,15.0,0.38,0.19,-0.54
NaBH4,6.3054,62.3333,1.9617,462.485,1.5,3.0,1.1667,0.1667,0.0,135.0,1.27,0.3439,-0.475
BaI2,130.3786,164.3333,2.07,591.2333,5.3333,12.0,2.0,3.3333,6.6667,76.0,1.77,0.7867,-1.835
FeCl3,40.551,109.5,2.8275,581.45,3.25,14.75,2.0,3.75,1.5,30.0,1.33,0.4988,-1.333
