material_id,mean_AtomicWeight,mean_CovalentRadius,mean_Electronegativity,mean_MeltingT,mean_Row,mean_Column,mean_NsValence,mean_NpValence,mean_NdValence,range_CovalentRadius,range_Electronegativity,avgdev_Electronegativity,formation_energy_per_atom
HfO2,70.1629,102.3333,2.7267,871.8667,3.3333,12.0,2.0,2.6667,0.6667,109.0,2.14,0.9511,-3.854
La2O3,65.1618,122.4,2.504,510.08,3.6,10.8,2.0,2.4,0.4,141.0,2.34,1.1232,-3.777
ZnO,40.6897,94.0,2.545,373.74,3.0,14.0,2.0,2.0,5.0,56.0,1.79,0.895,-1.791
NiCl2,43.1998,109.3333,2.7433,690.4,3.3333,14.6667,2.0,3.3333,2.6667,22.0,1.25,0.5556,-1.305
CdF2,50.1359,86.0,3.2167,233.74,3.0,15.3333,2.0,3.3333,3.3333,87.0,2.29,1.0178,-2.197
BaTiO3,46.6384,114.6,2.55,621.08,3.2,10.8,2.0,2.4,0.4,149.0,2.55,1.068,-3.421
SrF2,41.8723,103.0,2.97,385.6667,3.0,12.0,2.0,3.3333,0.0,138.0,3.03,1.3467,-3.845
AgBr,93.8861,132.5,2.445,750.365,4.5,14.0,1.5,2.5,10.0,25.0,1.03,0.515,-0.774
BN,12.4089,77.5,2.54,1205.525,2.0,14.0,2.0,2.0,0.0,13.0,1.0,0.5,-1.41
NbS2,52.3455,124.6667,2.2533,1175.5733,3.6667,12.3333,1.6667,2.6667,1.3333,59.0,0.98,0.4356,-0.842
YMnO3,38.3684,105.4,2.618,696.48,3.0,11.6,2.0,2.4,1.2,124.0,2.22,0.9864,-2.848
CaBr2,66.6287,138.6667,2.3067,548.8667,4.0,12.0,2.0,3.3333,6.6667,56.0,1.96,0.8711,-2.365
MgCr2O4,27.4707,97.5714,2.6271,786.0286,2.7143,11.1429,1.7143,2.2857,1.4286,75.0,2.13,0.929,-2.819
BeO,12.5058,81.0,2.505,807.4,2.0,9.0,2.0,2.0,0.0,30.0,1.87,0.935,-3.092
GeS2,45.59,110.0,2.39,662.7067,3.3333,15.3333,2.0,3.3333,3.3333,15.0,0.57,0.2533,-0.627
NiAl2O4,25.2363,90.0,2.6986,544.8771,2.5714,14.2857,2.0,2.5714,1.1429,58.0,1.83,0.8473,-2.767
ScF3,25.4878,85.25,3.325,493.625,2.5,13.5,2.0,3.75,0.25,113.0,2.62,0.9825,-4.056
Cu2O,47.6971,110.0,2.4133,923.4467,3.3333,12.6667,1.3333,1.3333,6.6667,66.0,1.54,0.6844,-0.842
LaH3,35.4823,75.0,1.925,308.7575,2.25,1.5,1.25,0.0,0.25,176.0,1.1,0.4125,-1.037
ZnF2,34.4589,78.6667,3.2033,266.56,2.6667,15.3333,2.0,3.3333,3.3333,65.0,2.33,1.0356,-2.426
LaAlO3,42.777,105.2,2.606,458.174,3.0,12.8,2.0,2.6,0.2,141.0,2.34,1.0008,-3.643
MgO,20.1522,103.5,2.375,488.9,2.5,9.0,2.0,2.0,0.0,75.0,2.13,1.065,-3.005
Ni3Al,50.7654,123.25,1.835,1529.3675,3.75,10.75,2.0,0.25,6.0,3.0,0.3,0.1125,-0.459
Cu3Au,96.9011,133.0,2.06,1352.66,4.5,11.0,1.0,0.0,10.0,4.0,0.64,0.24,-0.083
FeS,43.955,118.5,2.205,1099.68,3.5,12.0,2.0,2.0,3.0,27.0,0.75,0.375,-0.677
GaAs,72.3223,120.5,1.995,696.455,4.0,14.0,2.0,2.0,10.0,3.0,0.37,0.185,-0.362
CuInS2,60.6235,121.0,2.21,641.06,3.75,14.0,1.75,2.25,5.0,37.0,0.8,0.37,-0.775
NiS,45.3792,114.5,2.245,1058.18,3.5,13.0,2.0,2.0,4.0,19.0,0.67,0.335,-0.541
CoCl2,43.2797,110.0,2.7333,703.7333,3.3333,14.3333,2.0,3.3333,2.3333,24.0,1.28,0.5689,-1.355
WS2,82.6567,124.0,2.5067,1490.5733,4.0,12.6667,2.0,2.6667,1.3333,57.0,0.22,0.0978,-0.903
CeO2,57.3716,112.0,2.6667,393.5333,3.3333,11.6667,2.0,2.6667,0.3333,138.0,2.32,1.0311,-3.727
YN,51.4563,130.5,2.13,931.025,3.5,9.0,2.0,1.5,0.5,119.0,1.82,0.91,-2.065
LiCl,21.197,115.0,2.07,312.645,2.5,9.0,1.5,2.5,0.0,26.0,2.18,1.09,-2.108
LiMnPO4,22.4072,91.1429,2.64,358.4557,2.4286,12.4286,1.8571,2.7143,0.7143,73.0,2.46,0.9143,-2.686
KNbO3,36.0006,113.0,2.548,650.186,3.0,10.8,1.6,2.4,0.8,137.0,2.62,1.0704,-2.766
NaH,11.9989,98.5,1.565,192.44,2.0,1.0,1.0,0.0,0.0,135.0,1.27,0.635,-0.462
ZrO2,41.0743,102.3333,2.7367,745.8667,3.0,12.0,2.0,2.6667,0.6667,109.0,2.11,0.9378,-3.748
LiAlH4,6.3257,62.1667,1.8983,240.5333,1.5,3.0,1.1667,0.1667,0.0,97.0,1.22,0.4022,-0.484
Zn3As2,69.1966,120.8,1.862,851.608,4.0,13.2,2.0,1.2,10.0,3.0,0.53,0.2544,-0.259
NiAl,42.8375,122.5,1.76,1330.735,3.5,11.5,2.0,0.5,4.0,3.0,0.3,0.15,-0.668
CuO,39.7727,99.0,2.67,706.285,3.0,13.5,1.5,2.0,5.0,66.0,1.54,0.77,-0.889
MnAl2O4,24.6998,92.1429,2.6471,515.02,2.5714,13.8571,2.0,2.5714,0.7143,73.0,1.89,0.9061,-3.161
